query_id	query_text	num_pedido	titulo	resumo	relevancia
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112023008845	COMPOSIÇÃO FARMACÊUTICA, E, MÉTODO DE TRATAMENTO	COMPOSIÇÃO FARMACÊUTICA, E, MÉTODO DE TRATAMENTO.Uma composição farmacêutica e um método de tratamento que são excelentes em termos de efeito antitumoral e segurança são providos. Uma composição farmacêutica e um método de tratamento, distinguidos por um conjugado anticorpo-fármaco, no qual um ligante-fármaco mostrado pela fórmula (na fórmula, A representa o sítio de ligação com o anticorpo) e um anticorpo estão ligados por uma ligação tioéter, é administrado em combinação com um inibidor de interação SIRP-CD47, tal como um anticorpo anti-SIRP etc. Também, uma composição farmacêutica e um método de tratamento, distinguidos pelo conjugado anticorpo-fármaco e um inibidor de interação SIRP-CD47, tal como um anticorpo anti-SIRP, etc. são administrados em combinação e usados para tratar uma doença que é melhorada pela ação de ativação de imunidade antitumoral.	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022026205	PRODUTO FARMACÊUTICO, USO DE UM CONJUGADO ANTICORPO ANTI-HER2-FÁRMACO OU UM INIBIDOR DE ATR NA FABRICAÇÃO DE UM MEDICAMENTO, E, MÉTODO DE TRATAMENTO DO CÂNCER	PRODUTO FARMACÊUTICO, USO DE UM CONJUGADO ANTICORPO ANTI-HER2-FÁRMACO OU UM INIBIDOR DE ATR NA FABRICAÇÃO DE UM MEDICAMENTO, E, MÉTODO DE TRATAMENTO DO CÂNCER. É proporcionado um produto farmacêutico para administração de um conjugado anticorpo anti-HER2-fármaco em combinação com um inibidor de ATR. O conjugado anticorpo anti-HER2-fármaco é um conjugado anticorpo-fármaco no qual um ligante de fármaco representado pela seguinte fórmula (em que A representa a posição de conexão a um anticorpo) é conjugado a um anticorpo anti-HER2 através de uma ligação de tioéter. É também proporcionado um uso terapêutico e método, em que o conjugado anticorpo-fármaco e o inibidor de ATR são administrados em combinação a um sujeito: Fórmula (I).	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022014398	CONJUGADO DE FÁRMACO DE DERIVADO DE ERIBULINA, MÉTODO DE PREPARAÇÃO PARA O MESMO E APLICAÇÃO DO MESMO EM MEDICINA	CONJUGADO DE FÁRMACO DE DERIVADO DE ERIBULINA, MÉTODO DE PREPARAÇÃO PARA O MESMO E APLICAÇÃO DO MESMO EM MEDICINA. A presente revelação se refere a um conjugado de fármaco de um derivado de Eribulina, um método de preparação para o mesmo e uma aplicação do mesmo em medicina. Especificamente, é fornecido um conjugado anticorpo fármaco, que contém uma porção de fármaco de derivado de Eribulina. A presente revelação se refere ainda a um método para tratar câncer administrando-se o conjugado anticorpo fármaco fornecido no presente documento.	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112023020093	CONJUGADO ANTICORPO-FÁRMACO, INCLUINDO ANTICORPO CONTRA CLDN18.2 HUMANO, E USO DO MESMO	CONJUGADO ANTICORPO-FÁRMACO, INCLUINDO ANTICORPO CONTRA CLDN18.2 HUMANO, E USO DO MESMO. A presente descrição se refere a um novo conjugado anticorpo-fármaco (ADC) direcionado à isoforma 2 da claudina 18 (CLDN18.2), um metabólito ativo do ADC, um método de produção do ADC, uso do ADC para o tratamento e/ou prevenção de doenças, e uso do ADC para produzir um medicamento para o tratamento e/ou prevenção de doenças, mais especificamente doenças hiperproliferativas e/ou angiogênicas, por exemplo, câncer, e mais particularmente, a um conjugado anticorpo-fármaco incluindo um novo anticorpo ou fragmento de ligação ao antígeno do mesmo que se liga a CLDN18.2, e uma composição farmacêutica incluindo o mesmo.	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022024930	FÁRMACO DE CAMPTOTECINA POSSUINDO UNIDADE DE CONEXÃO HIDROFÍLICA DE ALTA ESTABILIDADE E CONJUGADO DO MESMO	FÁRMACO DE CAMPTOTECINA POSSUINDO UNIDADE DE CONEXÃO HIDROFÍLICA DE ALTA ESTABILIDADE E CONJUGADO DO MESMO. A presente invenção refere-se a fármaco camptotecina com uma unidade de conexão hidrofílica altamente estável e conjugado do mesmo, ou sal farmaceuticamente aceitável do mesmo, incluindo métodos para sua preparação e suas aplicações na prevenção e/ou tratamento do câncer. O conjugado pode se ligar especificamente a receptores altamente expressos em células tumorais. Os conjugados possuem excelente solubilidade, estabilidade e homogeneidade em água, e podem ser usados para prevenir e/ou tratar tumores e/ou outras doenças.	1
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022007719	IMUNOCONJUGADOS, COMPOSTO LIGANTE, COMPOSIÇÃO FARMACÊUTICA, MÉTODO PARA TRATAR CÂNCER, USO DE UM IMUNOCONJUGADO E MÉTODO DE PREPARAÇÃO DE UM IMUNOCONJUGADO	IMUNOCONJUGADOS, COMPOSTO LIGANTE, COMPOSIÇÃO FARMACÊUTICA, MÉTODO PARA TRATAR CÂNCER, USO DE UM IMUNOCONJUGADO E MÉTODO DE PREPARAÇÃO DE UM IMUNOCONJUGADO.A invenção fornece imunoconjugados de Fórmula I compreendendo um anticorpo ligado por conjugação a um ou mais derivados de tienoazepina. A invenção também fornece composições intermediárias de derivado de tienoazepina compreendendo um grupo funcional reativo. Essas composições intermediárias são substratos adequados para formação dos imunoconjugados através de um ligante ou uma fração de ligação. A invenção ainda fornece métodos para tratar câncer com os imunoconjugados.	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112016017893	CONJUGADO DE ANTICORPO-FÁRMACO, MEDICAMENTO ANTITUMORAL E/OU ANTICANCERÍGENO, E COMPOSIÇÃO FARMACÊUTICA	CONJUGADO DE ANTICORPO-FÁRMACO ANTI-HER3.Proporcionar um fármaco antitumor tendo excelente efeito terapêutico, o qual é excelente em termos de efeito antitumor e segurança. É fornecido um conjugado de anticorpo-fármaco no qual um composto antitumor representado pela fórmula a seguir é conjugado a um anticorpo anti-HER3 através de um ligante tendo uma estrutura representada pela fórmula: -L(1)-L(2)-L(P)-NH-(CH(2))n(1)-L(a)-(CH(2))n(2)-C(=O)- ou -L(1)-L(2)-L(P)- (o anticorpo anti-HER3 é conectado ao término de L(1), o composto antitumor é conectado ao grupo carbonila da porção -(CH(2))n(2)-C(=O)- ou ao C-término de L(P), com o átomo de nitrogênio do grupo amino na posição 1 como uma posição de conexão).	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022025105	MÉTODO PARA O TRATAMENTO DE CÂNCER CERVICAL EM UM INDIVÍDUO, CONJUGADO ANTICORPO-FÁRMACO, E, USO DE UM CONJUGADO ANTICORPO-FÁRMACO	MÉTODO PARA O TRATAMENTO DE CÂNCER CERVICAL EM UM INDIVÍDUO, CONJUGADO ANTICORPO-FÁRMACO, E, USO DE UM CONJUGADO ANTICORPO-FÁRMACO. A invenção provê métodos e composições para o tratamento de câncer, como o câncer cervical avançado, em um indivíduo, tal composto pela administração de conjugados anticorpo-fármaco que se ligam ao fator tecidual (TF). A invenção também provê artigos manufaturados e composições que compreendem os ditos conjugados anticorpo-fármaco que se ligam ao TF para uso no tratamento de câncer (por exemplo, câncer cervical avançado).	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112020010856	USO DE CONJUGADO DE ANTICORPO ANTI-HER2-FÁRMACO NO TRATAMENTO DE CARCINOMA UROTELIAL	USO DE CONJUGADO DE ANTICORPO ANTI-HER2-FÁRMACO NO TRATAMENTO DE CARCINOMA UROTELIAL.A presente invenção se refere ao uso de um conjugado de fármaco e anticorpo anti-HER2 (ADC) na preparação de um fármaco para tratar carcinoma urotelial. O fármaco é seguro e eficaz para pacientes com carcinoma urotelial, especialmente carcinoma urotelial metastático ou localmente avançado, e pode prolongar de modo eficaz o tempo de sobrevida dos pacientes.	2
QN003	Terapias baseadas em anticorpos para tratamento de câncer	BR112022001045	USO DE UM ANTICORPO OU UM FRAGMENTO DE LIGAÇÃO AO ANTÍGENO DO MESMO QUE SE LIGA ESPECIFICAMENTE AO LIV1 HUMANO, USO DE UM CONJUGADO ANTICORPO LIV1-FÁRMACO, E, KIT	MÉTODO PARA TRATAR UM INDIVÍDUO COM OU EM RISCO DE DESENVOLVER UM CÂNCER ASSOCIADO A LIV1, E, KIT. São providos métodos para utilizar anticorpos anti-LIV1 e conjugados anticorpo-fármaco, incluindo conjugados anticorpo anti-LIV1-fármaco, para inibir a proliferação de uma célula, tal como uma célula que expressa LIV1, bem como para o tratamento de cânceres, como, por exemplo, tumores sólidos e câncer de mama (por exemplo, câncer de mama localmente avançado ou metastático) associados a LIV1.	2
