query_id	tema	subtema	query_text	num_pedido_normalizado	num_publicacao	relevance_candidato	score_regra	evidencia_regra	ipc	titulo
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022020477	WO2021/214227	2	30.5	ipc_forte=4; ipc_media=3; ipc_tema=3; termos_fortes=ceacam5; termos_medios=anticorpo|antitumor|tumor|cancer	A61K 39/00; A61K 39/395; A61K 47/68; A61P 35/00; C07K 16/28; C07K 16/30	COMBINAÇÕES ANTITUMOR CONTENDO CONJUGADOS DE ANTICORPO ANTI-CEACAM5 E CETUXIMABE
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022001045	WO2021/016233	2	29.5	ipc_forte=4; ipc_media=3; ipc_tema=3; termos_fortes=anticorpo farmaco; termos_medios=anticorpo|tumor|cancer	A61K 39/00; A61K 47/68; A61P 35/00; C07K 16/28; C07K 16/30	USO DE UM ANTICORPO OU UM FRAGMENTO DE LIGAÇÃO AO ANTÍGENO DO MESMO QUE SE LIGA ESPECIFICAMENTE AO LIV1 HUMANO, USO DE UM CONJUGADO ANTICORPO LIV1-FÁRMACO, E, KIT
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022014398	WO2021/148003	2	28.5	ipc_forte=3; ipc_media=3; ipc_tema=4; termos_fortes=conjugado anticorpo farmaco|anticorpo farmaco; termos_medios=anticorpo|cancer	A61K 47/68; A61P 35/00; C07D 307/20; C07K 16/28	CONJUGADO DE FÁRMACO DE DERIVADO DE ERIBULINA, MÉTODO DE PREPARAÇÃO PARA O MESMO E APLICAÇÃO DO MESMO EM MEDICINA
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022009672	WO2021/108353	2	27.5	ipc_forte=3; ipc_media=3; ipc_tema=3; termos_fortes=anticorpo farmaco|adc; termos_medios=anticorpo|cancer	A61K 47/68; A61P 35/00; C07K 16/28	TRATAMENTO DE CÂNCERES COM CONJUGADOS ANTICORPO-FÁRMACO (ADC) QUE SE LIGAM A PROTEÍNAS 191P4D12
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022002391	WO2021/030240	2	27.5	ipc_forte=3; ipc_media=3; ipc_tema=3; termos_fortes=anticorpo farmaco|adc; termos_medios=anticorpo|cancer	A61K 39/395; A61K 9/00; A61P 35/00; C07K 16/28	TRATAMENTO DE CÂNCER COM CONJUGADOS ANTICORPO-FÁRMACO (ADC) QUE SE LIGAM ÀS PROTEÍNAS 191P4D12
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR0812691	WO2009/012268	2	26.5	ipc_forte=4; ipc_media=3; ipc_tema=4; termos_medios=anticorpo|tumor	A61K 39/395; A61K 47/48; A61P 35/00; C07K 16/28; C12N 15/13	ANTICORPOS ANTI-CD79B, IMUNOCONJUGADO, COMPOSIÇÕES FARMACÊUTICAS, MÉTODO DE INIBIÇÃO DO CRESCIMENTO DE UMA CÉLULA QUE EXPRESSA CD79B, MÉTODO DE DETERMINAR A PRESENÇA DE CD79B E USOS DE UM IMUNOCONJUGADO
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112023008845	WO2022/102634	2	26.0	ipc_forte=3; ipc_media=2; ipc_tema=2; termos_fortes=conjugado anticorpo farmaco|anticorpo farmaco; termos_medios=anticorpo|antitumor|tumor	A61K 31/4745; A61K 39/395; A61K 47/55; A61K 47/68; A61P 35/00; A61P 35/02; A61P 43/00	COMPOSIÇÃO FARMACÊUTICA, E, MÉTODO DE TRATAMENTO
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022026236	WO2021/263026	2	25.5	ipc_forte=4; ipc_media=3; ipc_tema=3; termos_medios=anticorpo|cancer	A61K 39/395; A61K 47/60; A61P 35/00; C07K 16/28	TERAPIA DE COMBINAÇÃO DE IMUNO-ONCOLOGIA COM CONJUGADOS DE IL-2 E ANTICORPOS ANTI-EGFR
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112023020093	WO2022/211508	2	24.0	ipc_forte=2; ipc_media=2; ipc_tema=2; termos_fortes=conjugado anticorpo farmaco|anticorpo farmaco|adc; termos_medios=anticorpo|cancer	A61K 31/5517; A61K 38/05; A61K 45/06; A61K 47/65; A61K 47/68; A61P 35/00	CONJUGADO ANTICORPO-FÁRMACO, INCLUINDO ANTICORPO CONTRA CLDN18.2 HUMANO, E USO DO MESMO
QF001	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tratamento de câncer com conjugado anticorpo-fármaco	BR112022008191	WO2021/092380	2	23.5	ipc_forte=3; ipc_media=3; ipc_tema=3; termos_fortes=citotox; termos_medios=cancer	A61K 39/395; A61P 35/00; C07K 16/28	TERAPIA COM ANTAGONISTA DE LAG-3 PARA MELANOMA
