ipc	ocorrencias_na_amostra
A61K 39/395	14
A61K 31/506	9
A61B 17/072	7
A61K 31/519	6
A61K 31/502	5
G06K 9/00	5
A61K 31/4439	4
G01N 33/543	4
H04N 19/176	4
A23K 20/158	3
A61K 31/135	3
A61K 31/137	3
A61K 31/427	3
A61K 31/437	3
A61K 31/444	3
A61K 8/362	3
A61K 8/365	3
A61K 8/9789	3
B01J 35/02	3
C08G 63/183	3
C12N 15/113	3
G01N 33/569	3
G10L 19/008	3
H04L 29/06	3
H04L 29/08	3
A01D 41/127	2
A01N 1/02	2
A01N 43/653	2
A01N 63/02	2
A23K 20/174	2
A23L 33/105	2
A61B 17/064	2
A61B 5/103	2
A61F 13/472	2
A61F 13/496	2
A61F 13/511	2
A61K 31/122	2
A61K 31/277	2
A61K 31/4045	2
A61K 31/4155	2
A61K 31/4192	2
A61K 31/445	2
A61K 31/4745	2
A61K 31/5025	2
A61K 31/505	2
A61K 31/513	2
A61K 31/517	2
A61K 31/5377	2
A61K 31/5517	2
A61K 31/675	2
A61K 31/702	2
A61K 31/7076	2
A61K 31/708	2
A61K 9/127	2
A61M 5/315	2
B01F 13/00	2
B01J 23/755	2
B65D 85/804	2
C07K 14/415	2
C07K 14/705	2
C11D 1/835	2
C12N 5/0783	2
E21B 33/035	2
E21B 47/125	2
G01R 31/02	2
G05D 1/02	2
G06F 9/455	2
G06K 9/34	2
G06K 9/46	2
G06K 9/62	2
H01M 2/10	2
H04L 12/24	2
H04N 19/103	2
H04N 19/105	2
H04N 19/117	2
H04N 19/124	2
H04N 19/147	2
H04N 19/513	2
H04N 19/593	2
H04W 72/08	2
A01K 1/062	1
A01K 5/015	1
A01N 43/713	1
A23B 4/052	1
A23C 19/028	1
A23C 9/133	1
A23D 7/005	1
A23D 9/007	1
A23K 20/142	1
A23K 20/163	1
A23L 2/385	1
A23L 3/015	1
A23L 33/175	1
A24F 40/465	1
A61B 1/253	1
A61B 17/068	1
A61B 17/115	1
A61B 5/097	1
A61B 5/1172	1
A61B 5/145	1
A61C 17/028	1
A61F 13/475	1
A61F 13/513	1
A61F 13/534	1
A61F 13/535	1
A61F 5/441	1
A61K 31/015	1
A61K 31/055	1
A61K 31/166	1
A61K 31/185	1
