ipc	ocorrencias_na_amostra
A61K 39/395	40
A61K 31/519	19
A61K 31/4439	13
A61K 31/437	11
A61K 31/5377	10
A61K 31/506	9
C07K 14/705	8
G01N 33/574	8
A61K 31/444	7
A61K 31/496	6
A61K 31/513	6
A61K 9/127	6
A61K 31/282	5
A61K 31/4725	5
A61K 31/505	5
A61K 31/704	5
H04B 7/185	5
H04L 29/06	5
H04W 4/029	5
A61K 31/337	4
A61K 31/395	4
A61K 31/415	4
A61K 31/4155	4
A61K 31/4184	4
A61K 31/4375	4
A61K 31/4709	4
A61K 31/555	4
A61K 31/7068	4
A61K 36/185	4
C12N 15/113	4
H04L 29/08	4
H04W 72/08	4
A61K 31/167	3
A61K 31/192	3
A61K 31/4245	3
A61K 31/435	3
A61K 31/439	3
A61K 31/445	3
A61K 31/454	3
A61K 31/475	3
A61K 31/4985	3
A61K 31/573	3
A61K 31/675	3
A61K 47/48	3
C02F 1/461	3
C02F 9/02	3
C07D 491/048	3
C07D 491/107	3
C12Q 1/6886	3
H04M 1/725	3
A01N 43/653	2
A23K 20/163	2
A24F 40/465	2
A61K 31/047	2
A61K 31/137	2
A61K 31/198	2
A61K 31/381	2
A61K 31/4035	2
A61K 31/4045	2
A61K 31/4188	2
A61K 31/4192	2
A61K 31/4196	2
A61K 31/427	2
A61K 31/428	2
A61K 31/4745	2
A61K 31/495	2
A61K 31/517	2
A61K 31/5415	2
A61K 31/5517	2
A61K 31/553	2
A61K 31/702	2
A61K 31/7072	2
A61K 33/243	2
A61K 8/891	2
A61K 8/9789	2
A61M 5/168	2
A61M 5/315	2
B65D 85/804	2
C02F 1/463	2
C02F 1/467	2
C02F 1/469	2
C07F 9/572	2
C07K 14/005	2
C07K 14/725	2
G06K 9/00	2
H04L 12/24	2
H04L 12/403	2
H04N 21/436	2
230223	1
230261	1
230296	1
230327	1
A01N 43/707	1
A01N 43/824	1
A23K 20/142	1
A23K 20/158	1
A23L 2/44	1
A23L 3/02	1
A23L 3/36	1
A23L 33/105	1
A23L 33/125	1
A23L 33/135	1
A23L 33/145	1
A61B 17/068	1
A61B 17/072	1
A61B 5/0456	1
A61B 5/0468	1
A61B 5/053	1
A61B 5/389	1
A61F 5/441	1
A61K 31/045	1
A61K 31/095	1
A61K 31/121	1
A61K 31/135	1
A61K 31/138	1
A61K 31/155	1
A61K 31/194	1
A61K 31/195	1
A61K 31/197	1
A61K 31/216	1
A61K 31/295	1
A61K 31/341	1
A61K 31/355	1
A61K 31/366	1
A61K 31/375	1
A61K 31/397	1
A61K 31/4025	1
A61K 31/405	1
A61K 31/407	1
A61K 31/4162	1
A61K 31/4164	1
A61K 31/417	1
A61K 31/4178	1
A61K 31/421	1
A61K 31/422	1
A61K 31/4353	1
A61K 31/436	1
A61K 31/4412	1
A61K 31/4418	1
A61K 31/4525	1
A61K 31/4535	1
A61K 31/4545	1
A61K 31/455	1
