sistema,variante,nDCG@10,R-Precision,MRR,P@10,relevantes_no_qrels,altamente_relevantes,MRR_rel2,nDCG@5,Recall@5,RecallNorm@5,P@5,Recall@10,RecallNorm@10,nDCG@20,Recall@20,RecallNorm@20,P@20
bm25,tr,0.11584705384085252,0.15384615384615385,0.25,0.1,13,6,0.25,0.14606834984270645,0.07692307692307693,0.2,0.2,0.07692307692307693,0.1,0.2153773834984918,0.3076923076923077,0.3076923076923077,0.2
gemma,tr,0.6966677776431736,0.46153846153846156,1.0,0.5,13,6,1.0,0.7714160225925204,0.3076923076923077,0.8,0.8,0.38461538461538464,0.5,0.6727112423623142,0.46153846153846156,0.46153846153846156,0.3
gemma_si,tr,0.7149610878465716,0.46153846153846156,1.0,0.5,13,6,1.0,0.8687949224876581,0.3076923076923077,0.8,0.8,0.38461538461538464,0.5,0.747050881583432,0.5384615384615384,0.5384615384615384,0.35
gemma_qipc,tr,0.6927849602036127,0.46153846153846156,1.0,0.5,13,6,1.0,0.7714160225925204,0.3076923076923077,0.8,0.8,0.38461538461538464,0.5,0.6683643438681126,0.46153846153846156,0.46153846153846156,0.3
bm25,ipc_grupo,0.16971286633003296,0.15384615384615385,0.5,0.1,13,6,0.5,0.21398626473452753,0.07692307692307693,0.2,0.2,0.07692307692307693,0.1,0.28101047972398807,0.38461538461538464,0.38461538461538464,0.25
gemma,ipc_grupo,0.7947369697907831,0.6923076923076923,1.0,0.7,13,6,1.0,0.7227265726449517,0.23076923076923078,0.6,0.6,0.5384615384615384,0.7,0.805025949164907,0.7692307692307693,0.7692307692307693,0.5
gemma_si,ipc_grupo,0.8211213223014986,0.6923076923076923,1.0,0.7,13,6,1.0,0.8539316501572934,0.3076923076923077,0.8,0.8,0.5384615384615384,0.7,0.8296200699754391,0.7692307692307693,0.7692307692307693,0.5
gemma_qipc,ipc_grupo,0.7478088611404659,0.6153846153846154,1.0,0.6,13,6,1.0,0.9026211001048622,0.38461538461538464,1.0,1.0,0.46153846153846156,0.6,0.8055540431539724,0.6923076923076923,0.6923076923076923,0.45
bm25,ipc_direto,0.14176542798203215,0.23076923076923078,0.25,0.2,13,6,0.25,0.14606834984270645,0.07692307692307693,0.2,0.2,0.15384615384615385,0.2,0.2142282378076004,0.3076923076923077,0.3076923076923077,0.2
gemma,ipc_direto,0.8016890418347127,0.6153846153846154,1.0,0.7,13,6,1.0,0.7227265726449517,0.23076923076923078,0.6,0.6,0.5384615384615384,0.7,0.8096659994170191,0.7692307692307693,0.7692307692307693,0.5
gemma_si,ipc_direto,0.8339822396765508,0.6153846153846154,1.0,0.7,13,6,1.0,0.8687949224876581,0.3076923076923077,0.8,0.8,0.5384615384615384,0.7,0.7999811022503981,0.6153846153846154,0.6153846153846154,0.4
gemma_qipc,ipc_direto,0.8235130488040245,0.5384615384615384,1.0,0.7,13,6,1.0,0.9026211001048622,0.38461538461538464,1.0,1.0,0.5384615384615384,0.7,0.789028747668796,0.6153846153846154,0.6153846153846154,0.4
bm25,ipc_hierarquia,0.19563124047121258,0.15384615384615385,0.5,0.2,13,6,0.5,0.21398626473452753,0.07692307692307693,0.2,0.2,0.15384615384615385,0.2,0.32217834194189143,0.38461538461538464,0.38461538461538464,0.25
gemma,ipc_hierarquia,0.6575719356906072,0.6923076923076923,1.0,0.7,13,6,1.0,0.4542239860225726,0.23076923076923078,0.6,0.6,0.5384615384615384,0.7,0.7418426641871079,0.8461538461538461,0.8461538461538461,0.55
gemma_si,ipc_hierarquia,0.7564745797320422,0.6923076923076923,1.0,0.7,13,6,1.0,0.7664615984823989,0.3076923076923077,0.8,0.8,0.5384615384615384,0.7,0.837977647864519,0.8461538461538461,0.8461538461538461,0.55
gemma_qipc,ipc_hierarquia,0.7273821076017359,0.6923076923076923,1.0,0.7,13,6,1.0,0.7698724385020871,0.38461538461538464,1.0,1.0,0.5384615384615384,0.7,0.7910030106100348,0.7692307692307693,0.7692307692307693,0.5
